l,D_l_LCDM,D_l_LPEG,delta_D_l,modulation_function,relative_change
2,15759.22385926463,17107.6729060622,1348.4490467975684,1.085565701638589,8.556570163858886
3,12356.07455938775,13372.413500260458,1016.3389408727089,1.0822541929467824,8.225419294678238
4,10397.24722499389,10323.145666296487,-74.10155869740265,0.9928729636706848,-0.7127036329315157
5,9094.464992752606,8293.798298255706,-800.6666944969002,0.9119610999509093,-8.803890004909059
6,8151.828549104989,7840.309692379286,-311.5188567257028,0.961785401293811,-3.821459870618909
7,7431.750057457472,7973.610680017664,541.8606225601916,1.0729115778074985,7.291157780749844
8,6859.608978228506,7206.757196772565,347.1482185440591,1.0506075812259652,5.060758122596518
9,6391.691272010556,5961.545442911034,-430.1458290995215,0.9327023457808193,-6.729765421918069
10,5999.850162239297,5731.923879992802,-267.92628224649525,0.9553445044456746,-4.465549555432537
11,5666.4604162092055,6071.858682414922,405.39826620571694,1.071543474484716,7.154347448471608
12,5378.198966911024,5510.584689443747,132.38572253272287,1.0246152519360507,2.4615251936050773
13,5126.02838765794,4733.863407028588,-392.1649806293517,0.9234953552786449,-7.650464472135517
14,4903.161499600349,4942.661835155355,39.50033555500613,1.0080560951455966,0.8056095145596522
15,4704.1045607465185,5028.495330240646,324.3907694941272,1.0689590899405195,6.895908994051951
16,4525.534306238429,4320.293149162273,-205.24115707615601,0.954648193298804,-4.535180670119592
17,4363.816079634411,4197.623921596999,-166.1921580374119,0.9619158656083107,-3.808413439168936
18,4216.740190291836,4504.856429473755,288.1162391819189,1.0683267704861794,6.832677048617944
19,4082.005983659573,4030.623152172497,-51.38283148707569,0.9874123576269209,-1.2587642373079104
20,3958.1481113356813,3739.1820266430273,-218.96608469265402,0.9446796636877836,-5.532033631221639
21,3844.368604824168,4062.208348246898,217.83974342272995,1.0566646349024311,5.666463490243111
22,3738.719740589693,3754.8603094013724,16.14056881167926,1.0043171379326585,0.4317137932658593
23,3639.719714082048,3429.8544746585694,-209.86523942347867,0.9423402745514959,-5.765972544850408
24,3548.387733636937,3724.0559523834545,175.6682187465176,1.0495064891249823,4.95064891249823
