,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.0,1.002358972497844,1.0047235097469331,0.9988225964390275,0.9981168198209383,1.000942922067836,1.0094693310381957,1.0142375692625847,1.0190283303067023,0.9976465791572003,1.0,1.002358972497844
mu,0.9976465791572003,1.0,1.002358972497844,0.9964719465223085,0.9957678308936226,0.9985872821325888,1.0070936248743632,1.0118506414275314,1.0166301277947551,0.9952986969040639,0.9976465791572003,1.0
tau,0.9952986969040639,0.9976465791572003,1.0,0.9941268286740976,0.9934243701258081,0.9962371860094632,1.0047235097469331,1.0094693310381957,1.0142375692625847,0.9929563402059584,0.9952986969040639,0.9976465791572003
u,1.001178791474252,1.0035405447087642,1.0059078692542034,1.0,0.9992933914184507,1.0021228250505825,1.0106592848791425,1.0154331438620976,1.020229552214489,0.9988225964390275,1.001178791474252,1.0035405447087642
d,1.0018867332376982,1.0042501564873605,1.0066191549874695,1.000707108230293,1.0,1.0028314343479403,1.0113739303775025,1.0161511649954347,1.020950964927648,0.9995288721175721,1.0018867332376982,1.0042501564873605
s,0.9990579661966258,1.0014147164626352,1.0037770262377068,0.997881671789608,0.9971765600369505,1.0,1.0085183768048882,1.0132821231876872,1.0180683711729575,0.9967067623558136,0.9990579661966258,1.0014147164626352
c,0.9906194960589275,0.9929563402059584,0.9952986969040639,0.9894531371366988,0.9887539810589571,0.9915535730425902,1.0,1.0047235097469331,1.0094693310381957,0.9882881514896186,0.9906194960589275,0.9929563402059584
b,0.9859622935552109,0.9882881514896186,0.9906194960589275,0.9848014180397943,0.9841055489066853,0.9868919791598584,0.9952986969040639,1.0,1.0047235097469331,0.9836419093433434,0.9859622935552109,0.9882881514896186
t,0.9813269859720434,0.9836419093433434,0.9859622935552109,0.9801715680842814,0.9794789704428823,0.9822523008428795,0.9906194960589275,0.9952986969040639,1.0,0.9790175105896549,0.9813269859720434,0.9836419093433434
nu1,1.002358972497844,1.0047235097469331,1.0070936248743632,1.001178791474252,1.0004713499485312,1.0033041188929055,1.0118506414275314,1.0166301277947551,1.0214321901124195,1.0,1.002358972497844,1.0047235097469331
nu2,1.0,1.002358972497844,1.0047235097469331,0.9988225964390275,0.9981168198209383,1.000942922067836,1.0094693310381957,1.0142375692625847,1.0190283303067023,0.9976465791572003,1.0,1.002358972497844
nu3,0.9976465791572003,1.0,1.002358972497844,0.9964719465223085,0.9957678308936226,0.9985872821325888,1.0070936248743632,1.0118506414275314,1.0166301277947551,0.9952986969040639,0.9976465791572003,1.0
