,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.0,1.00235897,1.00472351,1.00117879,1.00188673,1.00094292,1.00946933,1.01423757,1.01902833,1.00235897,1.0,1.00235897
mu,1.00235897,1.0,1.00235897,1.00354054,1.00425016,1.00141472,1.00709362,1.01185064,1.01663013,1.00472351,1.00235897,1.0
tau,1.00472351,1.00235897,1.0,1.00590787,1.00661915,1.00377703,1.00472351,1.00946933,1.01423757,1.00709362,1.00472351,1.00235897
u,1.00117879,1.00354054,1.00590787,1.0,1.00070711,1.00212283,1.01065928,1.01543314,1.02022955,1.00117879,1.00117879,1.00354054
d,1.00188673,1.00425016,1.00661915,1.00070711,1.0,1.00283143,1.01137393,1.01615116,1.02095096,1.00047135,1.00188673,1.00425016
s,1.00094292,1.00141472,1.00377703,1.00212283,1.00283143,1.0,1.00851838,1.01328212,1.01806837,1.00330412,1.00094292,1.00141472
c,1.00946933,1.00709362,1.00472351,1.01065928,1.01137393,1.00851838,1.0,1.00472351,1.00946933,1.01185064,1.00946933,1.00709362
b,1.01423757,1.01185064,1.00946933,1.01543314,1.01615116,1.01328212,1.00472351,1.0,1.00472351,1.01663013,1.01423757,1.01185064
t,1.01902833,1.01663013,1.01423757,1.02022955,1.02095096,1.01806837,1.00946933,1.00472351,1.0,1.02143219,1.01902833,1.01663013
nu1,1.00235897,1.00472351,1.00709362,1.00117879,1.00047135,1.00330412,1.01185064,1.01663013,1.02143219,1.0,1.00235897,1.00472351
nu2,1.0,1.00235897,1.00472351,1.00117879,1.00188673,1.00094292,1.00946933,1.01423757,1.01902833,1.00235897,1.0,1.00235897
nu3,1.00235897,1.0,1.00235897,1.00354054,1.00425016,1.00141472,1.00709362,1.01185064,1.01663013,1.00472351,1.00235897,1.0
