,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.00904062,1.00873123,1.00782468,1.00896293,1.00884219,1.00899087,1.00451014,1.0,0.99551011,1.00873123,1.00904062,1.00873123
mu,1.00873123,1.00904062,1.00873123,1.00834958,1.0080513,1.00892882,1.00638425,1.00233209,0.99767334,1.00782468,1.00873123,1.00904062
tau,1.00782468,1.00873123,1.00904062,1.00716573,1.00671072,1.0082558,1.00782468,1.00451014,1.0,1.00638425,1.00782468,1.00873123
u,1.00896293,1.00834958,1.00716573,1.00904062,1.00901263,1.00878973,1.00345009,0.99882595,0.99453613,1.00896293,1.00896293,1.00834958
d,1.00884219,1.0080513,1.00671072,1.00901263,1.00904062,1.00859625,1.00278502,0.99813054,0.99399592,1.00902818,1.00884219,1.0080513
s,1.00899087,1.00892882,1.0082558,1.00878973,1.00859625,1.00904062,1.00530408,1.0009412,0.99634606,1.00843762,1.00899087,1.00892882
c,1.00451014,1.00638425,1.00782468,1.00345009,1.00278502,1.00530408,1.00904062,1.00782468,1.00451014,1.00233209,1.00451014,1.00638425
b,1.0,1.00233209,1.00451014,0.99882595,0.99813054,1.0009412,1.00782468,1.00904062,1.00782468,0.99767334,1.0,1.00233209
t,0.99551011,0.99767334,1.0,0.99453613,0.99399592,0.99634606,1.00451014,1.00782468,1.00904062,0.99365625,0.99551011,0.99767334
nu1,1.00873123,1.00782468,1.00638425,1.00896293,1.00902818,1.00843762,1.00233209,0.99767334,0.99365625,1.00904062,1.00873123,1.00782468
nu2,1.00904062,1.00873123,1.00782468,1.00896293,1.00884219,1.00899087,1.00451014,1.0,0.99551011,1.00873123,1.00904062,1.00873123
nu3,1.00873123,1.00904062,1.00873123,1.00834958,1.0080513,1.00892882,1.00638425,1.00233209,0.99767334,1.00782468,1.00873123,1.00904062
