,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.000000000000,1.002358972498,1.004723509747,0.998822596439,0.998116819821,1.000942922068,1.009469331038,1.014237569263,1.019028330307,0.997646579157,1.000000000000,1.002358972498
mu,0.997646579157,1.000000000000,1.002358972498,0.996471946522,0.995767830894,0.998587282133,1.007093624874,1.011850641428,1.016630127795,0.995298696904,0.997646579157,1.000000000000
tau,0.995298696904,0.997646579157,1.000000000000,0.994126828674,0.993424370126,0.996237186009,1.004723509747,1.009469331038,1.014237569263,0.992956340206,0.995298696904,0.997646579157
u,1.001178791474,1.003540544709,1.005907869254,1.000000000000,0.999293391418,1.002122825051,1.010659284879,1.015433143862,1.020229552214,0.998822596439,1.001178791474,1.003540544709
d,1.001886733238,1.004250156487,1.006619154987,1.000707108230,1.000000000000,1.002831434348,1.011373930378,1.016151164995,1.020950964928,0.999528872118,1.001886733238,1.004250156487
s,0.999057966197,1.001414716463,1.003777026238,0.997881671790,0.997176560037,1.000000000000,1.008518376805,1.013282123188,1.018068371173,0.996706762356,0.999057966197,1.001414716463
c,0.990619496059,0.992956340206,0.995298696904,0.989453137137,0.988753981059,0.991553573043,1.000000000000,1.004723509747,1.009469331038,0.988288151490,0.990619496059,0.992956340206
b,0.985962293555,0.988288151490,0.990619496059,0.984801418040,0.984105548907,0.986891979160,0.995298696904,1.000000000000,1.004723509747,0.983641909343,0.985962293555,0.988288151490
t,0.981326985972,0.983641909343,0.985962293555,0.980171568084,0.979478970443,0.982252300843,0.990619496059,0.995298696904,1.000000000000,0.979017510590,0.981326985972,0.983641909343
nu1,1.002358972498,1.004723509747,1.007093624874,1.001178791474,1.000471349949,1.003304118893,1.011850641428,1.016630127795,1.021432190112,1.000000000000,1.002358972498,1.004723509747
nu2,1.000000000000,1.002358972498,1.004723509747,0.998822596439,0.998116819821,1.000942922068,1.009469331038,1.014237569263,1.019028330307,0.997646579157,1.000000000000,1.002358972498
nu3,0.997646579157,1.000000000000,1.002358972498,0.996471946522,0.995767830894,0.998587282133,1.007093624874,1.011850641428,1.016630127795,0.995298696904,0.997646579157,1.000000000000
