,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.009040621774,1.008731229188,1.007824682705,1.008962932423,1.008842191660,1.008990874329,1.004510140205,1.000000000000,0.995510109830,1.008731229188,1.009040621774,1.008731229188
mu,1.008731229188,1.009040621774,1.008731229188,1.008349580717,1.008051297486,1.008928821288,1.006384254056,1.002332086499,0.997673339474,1.007824682705,1.008731229188,1.009040621774
tau,1.007824682705,1.008731229188,1.009040621774,1.007165731927,1.006710720079,1.008255801838,1.007824682705,1.004510140205,1.000000000000,1.006384254056,1.007824682705,1.008731229188
u,1.008962932423,1.008349580717,1.007165731927,1.009040621774,1.009012627343,1.008789734115,1.003450088794,0.998825954002,0.994536128680,1.008962932423,1.008962932423,1.008349580717
d,1.008842191660,1.008051297486,1.006710720079,1.009012627343,1.009040621774,1.008596245984,1.002785023943,0.998130544396,0.993995921495,1.009028176155,1.008842191660,1.008051297486
s,1.008990874329,1.008928821288,1.008255801838,1.008789734115,1.008596245984,1.009040621774,1.005304084383,1.000941198819,0.996346062149,1.008437621592,1.008990874329,1.008928821288
c,1.004510140205,1.006384254056,1.007824682705,1.003450088794,1.002785023943,1.005304084383,1.009040621774,1.007824682705,1.004510140205,1.002332086499,1.004510140205,1.006384254056
b,1.000000000000,1.002332086499,1.004510140205,0.998825954002,0.998130544396,1.000941198819,1.007824682705,1.009040621774,1.007824682705,0.997673339474,1.000000000000,1.002332086499
t,0.995510109830,0.997673339474,1.000000000000,0.994536128680,0.993995921495,0.996346062149,1.004510140205,1.007824682705,1.009040621774,0.993656246081,0.995510109830,0.997673339474
nu1,1.008731229188,1.007824682705,1.006384254056,1.008962932423,1.009028176155,1.008437621592,1.002332086499,0.997673339474,0.993656246081,1.009040621774,1.008731229188,1.007824682705
nu2,1.009040621774,1.008731229188,1.007824682705,1.008962932423,1.008842191660,1.008990874329,1.004510140205,1.000000000000,0.995510109830,1.008731229188,1.009040621774,1.008731229188
nu3,1.008731229188,1.009040621774,1.008731229188,1.008349580717,1.008051297486,1.008928821288,1.006384254056,1.002332086499,0.997673339474,1.007824682705,1.008731229188,1.009040621774
