i,j,F_ij,delta_from_1
nu1,t,1.021432190112,0.021432190112
t,nu1,1.021432190112,0.021432190112
t,d,1.020950964928,0.020950964928
d,t,1.020950964928,0.020950964928
u,t,1.020229552214,0.020229552214
t,u,1.020229552214,0.020229552214
t,e,1.019028330307,0.019028330307
t,nu2,1.019028330307,0.019028330307
e,t,1.019028330307,0.019028330307
nu2,t,1.019028330307,0.019028330307
s,t,1.018068371173,0.018068371173
t,s,1.018068371173,0.018068371173
nu3,t,1.016630127795,0.016630127795
mu,t,1.016630127795,0.016630127795
t,nu3,1.016630127795,0.016630127795
