i,j,F_ij,delta_from_1
nu3,mu,1.009040621774,0.009040621774
e,nu2,1.009040621774,0.009040621774
mu,nu3,1.009040621774,0.009040621774
nu2,e,1.009040621774,0.009040621774
nu1,d,1.009028176155,0.009028176155
d,nu1,1.009028176155,0.009028176155
d,u,1.009012627343,0.009012627343
u,d,1.009012627343,0.009012627343
nu2,s,1.008990874329,0.008990874329
s,e,1.008990874329,0.008990874329
e,s,1.008990874329,0.008990874329
s,nu2,1.008990874329,0.008990874329
u,nu1,1.008962932423,0.008962932423
nu1,u,1.008962932423,0.008962932423
u,nu2,1.008962932423,0.008962932423
