mode,particle,sector,mass_calc,unit,reference,reference_unit,relative_error,factor_error,source,std
ARCHIVE_CANONICAL_SPECTRUM,e,charged_lepton,0.511,MeV,0.511,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,mu,charged_lepton,105.7,MeV,105.7,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,tau,charged_lepton,1776.9,MeV,1776.9,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,nu1,neutrino,0.001,MeV,0.001,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,nu2,neutrino,0.008,MeV,0.008,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,nu3,neutrino,0.05,MeV,0.05,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,u,light_quark,2.2,MeV,2.2,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,d,light_quark,4.4,MeV,4.4,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,s,light_quark,96.0,MeV,96.0,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,c,heavy_quark,1270.0,MeV,1270.0,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,b,heavy_quark,4180.0,MeV,4180.0,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
ARCHIVE_CANONICAL_SPECTRUM,t,heavy_quark,172760.0,MeV,172760.0,MeV,0.0,1.0,MetaTheory archive canonical spectrum table / v3.8 extraction,
