particle,sector,lambda_GeV2,doc_reference_mass_MeV,archive_canonical_table_MeV,legacy_fit_reconstruction_MeV,one_anchor_per_sector_MeV,raw_document_power_law_MeV
e,charged_lepton,4.0,0.511,0.511,0.5109989461557473,0.511,0.5114028872946852
mu,charged_lepton,1.0,105.7,105.7,105.65837449999924,0.0083234375592158,0.00833
tau,charged_lepton,10.0,1776.9,1776.9,1776.86,7.767883899553383,7.77400832563894
nu1,neutrino,0.002,0.001,0.001,0.001,0.001,1e-09
nu2,neutrino,0.016,0.008,0.008,0.008,0.008,8e-09
nu3,neutrino,0.1,0.05,0.05,0.05,0.05,5e-08
u,light_quark,0.05,2.2,2.2,1.7578541654801385,2.2,0.2760422165174058
d,light_quark,0.1,4.4,4.4,4.996364973192393,8.041716762018726,1.0090242361785569
s,light_quark,0.4,96.0,96.0,80.5641890317458,107.4486483108234,13.48198320069041
c,heavy_quark,5.0,1270.0,1270.0,1302.6102386031505,1270.0,1269.6025705105271
b,heavy_quark,10.0,4180.0,4180.0,4044.370596525028,3355.7343145692794,3354.684182462629
t,heavy_quark,100.0,172760.0,172760.0,174325.40149385325,84642.32199723784,84615.83431627788
