particle,mode,computed_mass_MeV,reference_mass_MeV,ratio_computed_to_reference,relative_error_percent,abs_log_error,error_factor,dependency_class,cleanliness_status,raw_row_json
e,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""e"", ""sector"": ""charged_lepton"", ""mass_calc"": ""0.511"", ""unit"": ""MeV"", ""reference"": ""0.511"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
mu,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""mu"", ""sector"": ""charged_lepton"", ""mass_calc"": ""105.7"", ""unit"": ""MeV"", ""reference"": ""105.7"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
tau,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""tau"", ""sector"": ""charged_lepton"", ""mass_calc"": ""1776.9"", ""unit"": ""MeV"", ""reference"": ""1776.9"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
nu1,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""nu1"", ""sector"": ""neutrino"", ""mass_calc"": ""0.001"", ""unit"": ""MeV"", ""reference"": ""0.001"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
nu2,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""nu2"", ""sector"": ""neutrino"", ""mass_calc"": ""0.008"", ""unit"": ""MeV"", ""reference"": ""0.008"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
nu3,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""nu3"", ""sector"": ""neutrino"", ""mass_calc"": ""0.05"", ""unit"": ""MeV"", ""reference"": ""0.05"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
u,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""u"", ""sector"": ""light_quark"", ""mass_calc"": ""2.2"", ""unit"": ""MeV"", ""reference"": ""2.2"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
d,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""d"", ""sector"": ""light_quark"", ""mass_calc"": ""4.4"", ""unit"": ""MeV"", ""reference"": ""4.4"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
s,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""s"", ""sector"": ""light_quark"", ""mass_calc"": ""96.0"", ""unit"": ""MeV"", ""reference"": ""96.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
c,ARCHIVE_CANONICAL_SPECTRUM,,,,,,,reference_spectrum_execution,REFERENCE_TABLE,"{""mode"": ""ARCHIVE_CANONICAL_SPECTRUM"", ""particle"": ""c"", ""sector"": ""heavy_quark"", ""mass_calc"": ""1270.0"", ""unit"": ""MeV"", ""reference"": ""1270.0"", ""reference_unit"": ""MeV"", ""relative_error"": ""0.0"", ""factor_error"": ""1.0"", ""source"": ""MetaTheory archive canonical spectrum table / v3.8 extraction"", ""std"": """"}"
