,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.0,1.00235897,1.00472351,0.9988226,0.99811682,1.00094292,1.00946933,1.01423757,1.01902833,0.99764658,1.0,1.00235897
mu,0.99764658,1.0,1.00235897,0.99647195,0.99576783,0.99858728,1.00709362,1.01185064,1.01663013,0.9952987,0.99764658,1.0
tau,0.9952987,0.99764658,1.0,0.99412683,0.99342437,0.99623719,1.00472351,1.00946933,1.01423757,0.99295634,0.9952987,0.99764658
u,1.00117879,1.00354054,1.00590787,1.0,0.99929339,1.00212283,1.01065928,1.01543314,1.02022955,0.9988226,1.00117879,1.00354054
d,1.00188673,1.00425016,1.00661915,1.00070711,1.0,1.00283143,1.01137393,1.01615116,1.02095096,0.99952887,1.00188673,1.00425016
s,0.99905797,1.00141472,1.00377703,0.99788167,0.99717656,1.0,1.00851838,1.01328212,1.01806837,0.99670676,0.99905797,1.00141472
c,0.9906195,0.99295634,0.9952987,0.98945314,0.98875398,0.99155357,1.0,1.00472351,1.00946933,0.98828815,0.9906195,0.99295634
b,0.98596229,0.98828815,0.9906195,0.98480142,0.98410555,0.98689198,0.9952987,1.0,1.00472351,0.98364191,0.98596229,0.98828815
t,0.98132699,0.98364191,0.98596229,0.98017157,0.97947897,0.9822523,0.9906195,0.9952987,1.0,0.97901751,0.98132699,0.98364191
nu1,1.00235897,1.00472351,1.00709362,1.00117879,1.00047135,1.00330412,1.01185064,1.01663013,1.02143219,1.0,1.00235897,1.00472351
nu2,1.0,1.00235897,1.00472351,0.9988226,0.99811682,1.00094292,1.00946933,1.01423757,1.01902833,0.99764658,1.0,1.00235897
nu3,0.99764658,1.0,1.00235897,0.99647195,0.99576783,0.99858728,1.00709362,1.01185064,1.01663013,0.9952987,0.99764658,1.0
