,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.000000000000,1.002358972498,1.004723509747,1.001178791474,1.001886733238,1.000942922068,1.009469331038,1.014237569263,1.019028330307,1.002358972498,1.000000000000,1.002358972498
mu,1.002358972498,1.000000000000,1.002358972498,1.003540544709,1.004250156487,1.001414716463,1.007093624874,1.011850641428,1.016630127795,1.004723509747,1.002358972498,1.000000000000
tau,1.004723509747,1.002358972498,1.000000000000,1.005907869254,1.006619154987,1.003777026238,1.004723509747,1.009469331038,1.014237569263,1.007093624874,1.004723509747,1.002358972498
u,1.001178791474,1.003540544709,1.005907869254,1.000000000000,1.000707108230,1.002122825051,1.010659284879,1.015433143862,1.020229552214,1.001178791474,1.001178791474,1.003540544709
d,1.001886733238,1.004250156487,1.006619154987,1.000707108230,1.000000000000,1.002831434348,1.011373930378,1.016151164995,1.020950964928,1.000471349949,1.001886733238,1.004250156487
s,1.000942922068,1.001414716463,1.003777026238,1.002122825051,1.002831434348,1.000000000000,1.008518376805,1.013282123188,1.018068371173,1.003304118893,1.000942922068,1.001414716463
c,1.009469331038,1.007093624874,1.004723509747,1.010659284879,1.011373930378,1.008518376805,1.000000000000,1.004723509747,1.009469331038,1.011850641428,1.009469331038,1.007093624874
b,1.014237569263,1.011850641428,1.009469331038,1.015433143862,1.016151164995,1.013282123188,1.004723509747,1.000000000000,1.004723509747,1.016630127795,1.014237569263,1.011850641428
t,1.019028330307,1.016630127795,1.014237569263,1.020229552214,1.020950964928,1.018068371173,1.009469331038,1.004723509747,1.000000000000,1.021432190112,1.019028330307,1.016630127795
nu1,1.002358972498,1.004723509747,1.007093624874,1.001178791474,1.000471349949,1.003304118893,1.011850641428,1.016630127795,1.021432190112,1.000000000000,1.002358972498,1.004723509747
nu2,1.000000000000,1.002358972498,1.004723509747,1.001178791474,1.001886733238,1.000942922068,1.009469331038,1.014237569263,1.019028330307,1.002358972498,1.000000000000,1.002358972498
nu3,1.002358972498,1.000000000000,1.002358972498,1.003540544709,1.004250156487,1.001414716463,1.007093624874,1.011850641428,1.016630127795,1.004723509747,1.002358972498,1.000000000000
