n,gamma,north_anchor_re,north_anchor_im,south_anchor_re,south_anchor_im,tetra_vertex,imaginary_axis_coordinate,half_axis_distance,spectral_weight,status
1,14.134725141734694631,0.5,14.134725141734694631,0.5,-14.134725141734694631,1,0.134725141734694631,0.365274858265305369,0.586429461526932760,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
2,21.022039638771556014,0.5,21.022039638771556014,0.5,-21.022039638771556014,2,0.022039638771556014,0.477960361228443986,0.401003779063087762,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
3,25.010857580145689383,0.5,25.010857580145689383,0.5,-25.010857580145689383,3,0.010857580145689383,0.489142419854310617,0.384027456517166133,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
4,30.424876125859512399,0.5,30.424876125859512399,0.5,-30.424876125859512399,4,0.424876125859512399,0.075123874140487601,0.977678509028273579,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
5,32.935061587739191680,0.5,32.935061587739191680,0.5,-32.935061587739191680,1,0.935061587739191680,0.435061587739191680,0.469017902086326099,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
6,37.586178158825674700,0.5,37.586178158825674700,0.5,-37.586178158825674700,2,0.586178158825674700,0.086178158825674700,0.970730206741340362,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
7,40.918719012147498404,0.5,40.918719012147498404,0.5,-40.918719012147498404,3,0.918719012147498404,0.418719012147498404,0.495938949987632161,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
8,43.327073280915001874,0.5,43.327073280915001874,0.5,-43.327073280915001874,4,0.327073280915001874,0.172926719084998126,0.887262321114711927,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
9,48.005150881167161003,0.5,48.005150881167161003,0.5,-48.005150881167161003,1,0.005150881167161003,0.494849118832838997,0.375497824411646752,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
10,49.773832477672300456,0.5,49.773832477672300456,0.5,-49.773832477672300456,2,0.773832477672300456,0.273832477672300456,0.740864965332106440,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
11,52.970321477714463754,0.5,52.970321477714463754,0.5,-52.970321477714463754,3,0.970321477714463754,0.470321477714463754,0.412792939205847531,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
12,56.446247697063391513,0.5,56.446247697063391513,0.5,-56.446247697063391513,4,0.446247697063391513,0.053752302936608487,0.988509288076139137,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
13,59.347044002602352464,0.5,59.347044002602352464,0.5,-59.347044002602352464,1,0.347044002602352464,0.152955997397647536,0.910663204682782945,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
14,60.831778524609809722,0.5,60.831778524609809722,0.5,-60.831778524609809722,2,0.831778524609809722,0.331778524609809722,0.643838115728910587,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
15,65.112544048081602455,0.5,65.112544048081602455,0.5,-65.112544048081602455,3,0.112544048081602455,0.387455951918397545,0.548543629731692461,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
16,67.079810529494167781,0.5,67.079810529494167781,0.5,-67.079810529494167781,4,0.079810529494167781,0.420189470505832219,0.493497856049531558,definition_plus_ansatz_validated_as_non_mass_fitted_anchor
