particle,family,generation,sector,seed_pair,mode,weak_pole,chirality_path,color_depth,hypercharge_numerator_sixths,electric_charge_thirds,source_status,orientation_norm,feature_hash,uses_observed_mass,uses_observed_mixing,operator_information_role,v0,v1,v2,v3,v4,v5,v6,v7
e,charged_lepton,1,charged_lepton_small_seed,3-5,0,S,L_to_R_H_minus,0,-6,-3,definition_plus_old_doc_bridge_ansatz,1.0,1adf69cf65e7fe428aeb364dea86cd532f72f9230c584fca25a5ee91b6665c22,False,False,quantum_of_informational_preference_fluctuation,-0.5399289643287439,0.5399289643287439,0.0,-0.5399289643287439,-0.26996448216437197,0.1877023550555903,0.13121963842588738,0.009927295923706005
mu,charged_lepton,2,charged_lepton_small_seed,3-5,1,S,L_to_R_H_minus,0,-6,-3,definition_plus_old_doc_bridge_ansatz,1.0,19f3c10c8970e594347dba7e3e4791c283dfaa6f8867f787f917e6429f4a5eee,False,False,quantum_of_informational_preference_fluctuation,-0.5558906136673539,0.5558906136673539,0.0,-0.5558906136673539,0.09264843561122564,0.20392201493447829,0.15061371764023437,0.010220771597143536
tau,charged_lepton,3,charged_lepton_small_seed,3-5,2,S,L_to_R_H_minus,0,-6,-3,definition_plus_old_doc_bridge_ansatz,1.0,4fc5f53aae3381b049172a2950fb75eead43fa1e641271b9aa33d8ec8ff9fd4b,False,False,quantum_of_informational_preference_fluctuation,-0.5556161947122816,0.5556161947122816,0.0,-0.5556161947122816,0.0,0.213751917211649,0.16592104686232395,0.025539315119766
nu1,neutrino,1,neutrino_pair_coherence,5-7,0,N,L_to_optional_R_H_zero,0,0,0,quarantine_no_PMNS_claim,1.0,60b416ca101eab1b1a5dc0f5de8a1ad7eb9231236af1424869ae7cfa10028f04,False,False,quantum_of_informational_preference_fluctuation,0.65950171520476,0.65950171520476,0.0,0.0,0.0,0.27513929186160646,0.23295130482495358,0.012125796394658779
nu2,neutrino,2,neutrino_pair_coherence,5-7,1,N,L_to_optional_R_H_zero,0,0,0,quarantine_no_PMNS_claim,1.0,4956867defb9a98a936ec2a0d6374412013752251bf39ef015066357219c3db5,False,False,quantum_of_informational_preference_fluctuation,0.6549130112002235,0.6549130112002235,0.0,0.0,0.0,0.28296341171567874,0.24892691133098127,0.012041427106161795
nu3,neutrino,3,neutrino_pair_coherence,5-7,2,N,L_to_optional_R_H_zero,0,0,0,quarantine_no_PMNS_claim,1.0,cce24f26ab74e5a79b2ecac33454500bc9ca45d29df564b3f0f2ea77d2cb23ae,False,False,quantum_of_informational_preference_fluctuation,0.5962322096014159,0.5962322096014159,0.0,0.0,-0.3974881397342772,0.2660104734101868,0.24245360205080113,0.03836876499042707
u,up_quark,1,light_quark_seed,11-13,0,N,Q_L_to_u_R_H_plus,3,4,2,definition_plus_old_doc_bridge_ansatz,1.0,c4b9ad75bec9a283eeeec453a2c0773fe3c50af6a13bf47ce1398de436d53596,False,False,quantum_of_informational_preference_fluctuation,0.47525296885213286,0.47525296885213286,0.47525296885213286,0.31683531256808856,0.23762648442606643,0.2646651974382071,0.30891562522982907,0.008738143667251648
d,down_quark,1,light_quark_seed,11-13,0,S,Q_L_to_d_R_H_minus,3,-2,-1,definition_plus_old_doc_bridge_ansatz,1.0,d4dd1018c102bf5eb2880ee9eceaf7089fde5234dae160508fcb521d9a245e40,False,False,quantum_of_informational_preference_fluctuation,-0.49422157471846817,0.49422157471846817,0.49422157471846817,-0.16474052490615607,0.24711078735923409,0.2752286870863973,0.32124526675756104,0.009086906145533149
s,down_quark,2,light_quark_seed,11-13,1,S,Q_L_to_d_R_H_minus,3,-2,-1,definition_plus_old_doc_bridge_ansatz,0.9999999999999999,747e9d0677cb4ce94e3cc0dc6b854ac275a9c0a201f0c007dd7be58b617e6014,False,False,quantum_of_informational_preference_fluctuation,-0.4807284151985561,0.4807284151985561,0.4807284151985561,-0.16024280506618535,0.3204856101323707,0.27198027455593143,0.3228937830828234,0.008838816866480541
c,up_quark,2,heavy_quark_resonance,101-103,0,N,Q_L_to_u_R_H_plus,3,4,2,old_doc_bridge_ansatz_quarantined,1.0,2611f917e4fbdcbbb8a28f37ae53a9a889ffc26ff10064b8544fec293d7844c0,False,False,quantum_of_informational_preference_fluctuation,0.47230736898420334,0.47230736898420334,0.47230736898420334,0.3148715793228022,0.0,0.44869507374097367,-0.17386907531184737,0.008683984984362465
b,down_quark,3,heavy_quark_resonance,101-103,1,S,Q_L_to_d_R_H_minus,3,-2,-1,old_doc_bridge_ansatz_quarantined,1.0,5aa94b08809df66aed062e838c2a8b3ddff2f6739535827af799bd73a73ee138,False,False,quantum_of_informational_preference_fluctuation,-0.4919990673807854,0.4919990673807854,0.4919990673807854,-0.16399968912692844,0.0,0.46761648731026284,-0.16783278871253537,0.00904604245884204
t,up_quark,3,heavy_quark_resonance,101-103,2,N,Q_L_to_u_R_H_plus,3,4,2,old_doc_bridge_ansatz_quarantined,1.0,e4519c30cfccf231fe99a069acd597ec029e411e4916b9048d48b29fe9e99e1d,False,False,quantum_of_informational_preference_fluctuation,0.4281637788767909,0.4281637788767909,0.4281637788767909,0.2854425192511939,0.14272125962559695,0.40712911329524465,-0.13437360353034097,0.40542590618996344
