slot,family,generation,tau_doc,doc_origin,origin_class,L3,center_seed,center_orbit_length,tau_depth_coordinate,collatz_center_coordinate,ramanujan_delta,ramanujan_theta_weight,ramanujan_log_theta_weight,ramanujan_log10_theta_weight,information_phase,holonomy_release_log_coordinate,holonomy_release_coordinate,composite_document_tau_trace_log,composite_document_tau_trace,mass_prediction_claimed,benchmark_performed,observed_mass_input_used,pdg_reference_input_used
e,leptons,1,4.0,"terminal_center_seed_from_(3,5): 4 -> 2 -> 1",clean_document_seed,7.0,4.0,2.0,0.22991970177630003,0.2857142857142857,0.0,1.0,-0.0,-0.0,0.02757945001908145,0.09657232150603287,1.1013892323915253,-1.122138403941264,0.3255828220942553,False,False,False,False
mu,leptons,2,1.0,fixed point / minimal cycle,clean_document_fixed_point,7.0,4.0,2.0,0.09902102579427789,0.2857142857142857,0.0,1.0,-0.0,-0.0,0.036772600025441936,0.17030399264996451,1.1856652300566024,-1.8908046487061072,0.15095029799418846,False,False,False,False
tau,leptons,3,10.0,"document says seed/eigenvalue 10; label conflicts with (11,13) center 12",document_inconsistency_review,7.0,4.0,2.0,0.34255646754262437,0.2857142857142857,0.0,1.0,-0.0,-0.0,0.04596575003180242,0.24012176447275982,1.2714039527284655,-0.5798825733779586,0.5599641173996479,False,False,False,False
nu1,neutrinos,1,0.02,sub-threshold minimal,document_subthreshold,7.0,6.0,8.0,0.002828946756597102,1.1428571428571428,1.8300749985576878,0.04947874964524869,-3.0062120016791463,-1.3055812837605822,0.08273835005724435,-2.8544807801349505,0.05758571300612401,-7.960191535501535,0.0003490862486464416,False,False,False,False
nu2,neutrinos,2,0.05,sub-threshold minimal,document_subthreshold,7.0,6.0,8.0,0.006970023452776001,1.1428571428571428,1.8300749985576878,0.04947874964524869,-3.0062120016791463,-1.3055812837605822,0.09193150006360484,-2.7807491089910186,0.06199205117624399,-6.98474574634227,0.0009258986798230949,False,False,False,False
nu3,neutrinos,3,0.1,sub-threshold minimal,document_subthreshold,7.0,6.0,8.0,0.013615739972046409,1.1428571428571428,1.8300749985576878,0.04947874964524869,-3.0062120016791463,-1.3055812837605822,0.10112465006996532,-2.7109313371682235,0.0664748673615564,-6.245320089689934,0.0019395096614383436,False,False,False,False
u,light_quarks,1,0.05,sub-threshold minimal,document_subthreshold,7.0,12.0,9.0,0.006970023452776001,1.2857142857142858,1.8300749985576878,0.04947874964524869,-3.0062120016791463,-1.3055812837605822,0.09193150006360484,-2.84528763012859,0.05811754797772872,-6.984745746342271,0.0009258986798230941,False,False,False,False
d,light_quarks,2,0.1,sub-threshold minimal,document_subthreshold,7.0,12.0,9.0,0.013615739972046409,1.2857142857142858,1.8300749985576878,0.04947874964524869,-3.0062120016791463,-1.3055812837605822,0.10112465006996532,-2.771555958984658,0.06256458104617074,-6.241406190368798,0.0019471155816792787,False,False,False,False
s,light_quarks,3,0.4,sub-threshold minimal,document_subthreshold,7.0,12.0,9.0,0.04806746237445899,1.2857142857142858,1.8300749985576878,0.04947874964524869,-3.0062120016791463,-1.3055812837605822,0.1103178000763258,-2.701738187161863,0.06708879844532888,-4.910209402660159,0.007370944674328022,False,False,False,False
c,heavy_quarks,1,5.0,document labels power-law anchor,tainted_power_law_anchor,7.0,102.0,25.0,0.2559656384611507,3.5714285714285716,5.9052624949519075,2.547328026533507e-14,-31.301146324838772,-13.593915126123727,0.23902190016537259,-30.993131553186448,3.466202966018398e-14,-30.836017867714688,4.055903338207242e-14,False,False,False,False
b,heavy_quarks,2,10.0,document labels power-law anchor,tainted_power_law_anchor,7.0,102.0,25.0,0.34255646754262437,3.5714285714285716,5.9052624949519075,2.547328026533507e-14,-31.301146324838772,-13.593915126123727,0.24821505017173306,-30.919399882042516,3.7314295584706906e-14,-30.470892894429728,5.843315787126187e-14,False,False,False,False
t,heavy_quarks,3,100.0,document labels power-law anchor,tainted_power_law_anchor,7.0,102.0,25.0,0.6593029309773228,3.5714285714285716,5.9052624949519075,2.547328026533507e-14,-31.301146324838772,-13.593915126123727,0.25740820017809357,-30.84958211021972,4.001259520565501e-14,-29.746328523758322,1.2059621163473146e-13,False,False,False,False
