baryon,quarks,primes,n,sigma_n,sigma_n_over_n,delta_S_over_OI,scalar_base_mev,axial_correction_mev,predicted_mev,reference_mev,relative_error,abs_error_pct
proton,u+u+d,"(3, 3, 5)",45,78,1.7333333333333334,0.10476190476190476,938.272,0.0,938.272,938.27209,-3.392652824411785e-15,3.392652824411785e-13
neutron,u+d+d,"(3, 5, 5)",75,124,1.6533333333333333,0.09333333333333334,949.057,-9.5,939.557,939.56542,-9.271724047836818e-06,0.0009271724047836818
lambda0,u+d+s,"(3, 5, 7)",105,192,1.8285714285714285,0.1183673469387755,925.593,190.1,1115.693,1115.683,8.901896732480993e-06,0.0008901896732480993
sigma+,u+u+s,"(3, 3, 7)",63,104,1.6507936507936507,0.0929705215419501,952.207,243.8,1196.007,1189.37,0.005579902805905944,0.5579902805905944
sigma0,u+d+s,"(3, 5, 7)",105,192,1.8285714285714285,0.1183673469387755,952.207,243.8,1196.007,1192.642,0.0028211055792603224,0.28211055792603223
sigma-,d+d+s,"(5, 5, 7)",175,248,1.417142857142857,0.059591836734693863,952.207,243.8,1196.007,1197.449,-0.0012045865834284606,0.12045865834284605
xi0,u+s+s,"(3, 7, 7)",147,228,1.5510204081632653,0.07871720116618075,973.818,341.6,1315.418,1314.86,0.0004246332477568306,0.04246332477568306
xi-,d+s+s,"(5, 7, 7)",245,342,1.3959183673469389,0.056559766763848406,973.818,341.6,1315.418,1321.71,-0.004760247503502728,0.4760247503502728
omega-,s+s+s,"(7, 7, 7)",343,400,1.1661807580174928,0.02374010828821325,1017.457,661.583,1679.04,1672.45,0.003940327065084109,0.3940327065084109
delta++,u+u+u,"(3, 3, 3)",27,40,1.4814814814814814,0.06878306878306877,972.645,262.395,1235.04,1232.0,0.002467532467532438,0.24675324675324378
sigma*+,u+u+s,"(3, 3, 7)",63,104,1.6507936507936507,0.0929705215419501,952.207,430.833,1383.04,1382.8,0.00017356089094591344,0.017356089094591343
xi*0,u+s+s,"(3, 7, 7)",147,228,1.5510204081632653,0.07871720116618075,973.818,557.222,1531.04,1531.8,-0.0004961483222352728,0.049614832223527285
